,reviews,stars
47,Все соответствует и размер и подарочек. Ребёнок доволен,5
48,"Ребёнок доволен,всё отлично👍🏻спасибо за подарок.",5
49,"Отличная игрушка, все как на картинке. Цвет насыщенный, материал приятный. Положили небольшой подарок.",5
50,"Отличная игрушка, в подарок был ещё Симпл Димпл)",5
51,"Заказ пришёл быстро, игрушка хорошая, да ещё и в подарок положили.",5
52,"Получили очень доволен детишек , оригинал рекомендую",5
53,Ребенку понравился за подарок спасибо!,5
54,Спасибо огромное!!! За подарок отдельное спасибо!!! Очень приятно!!! Пришло всё быстро!!!! Всем рекомендую!!!!!,5
55,Ребенок счастлив ) а значит счастлива мама))))!!! Спасибо за подарочек ! Мне не дали нормально сфоткать😀,5
56,Спасибо за фото :),5
57,"Очень яркий, классный, дочь в восторге😀за подарок отдельное спасибо, даже не ожидала🤗",5
58,"Хороший подарок,все соответствует описанию,подарок был внутри.Спасибо!!!",5
59,Дети довольны),5
60,"Ребёнку понравился,спасибо за подарок!",5
61,"Ребёнок доволен, спасибо продавцу за подарок",5
62,Всё супер,5
63,"Ребёнку очень понравился поп ит,и отличный подарок,фото прилагаем.",5
64,Качественный,5
65,"Большой поп ит. Яркий, классный. Ещё спинер поп ит в подарок. Большое спасибо) покупкой довольна, ребёнок счастлив. Ещё хороший, крепкий карабин, можно повесить на рюкзак.",5
66,"Отличный материал, не пахнет. Хорошо нажимаются!!!",5
67,"Кликает обалденно, но только одна сторона, может так и положено. Мы довольны качеством. А ещё нам положили маленький подарочек - симпл-димпл в виде спинера. Размер очень большой, цена приемлемая, потому что в магазинах видели такие вдвое-втрое дороже.",5
68,"Супер, +подарок, ребёнок счастлив",5
69,"Всё как в описании, с карабинчиком, с сувениром. Сам поп ит щёлкается классно, легко в обе стороны.",5
70,Все в порядке и быстро пришёл!,5
71,Ребенок доволен!,5
72,"Доставили быстро, приятно удивил ребёнка подарок плюсом.",5
73,"Все понравилось, спасибо за подарок. Карабин в комплекте, но дужка у поп ит порвана.",5
74,"Хорошая, качественная игрушка. Детям очень понравилась. Доставка очень быстрая. Положили интересный подарочек. Цена адекватная. Покупайте, не пожалеете.",5
75,"Отличный, большой поп ит за доступные деньги. Отдельное спасибо за подарочек Симпл димпл.",5
76,Пупит пупит,5
77,"Качество на вид хорошее, подарок🔥",5
78,Всё супер хорошое и подарочек. Спасибо,5
79,"Радость от поп ита не описать словами, а от подарка ребёнок вообще в восторге, спасибо!",5
80,Отличный поп ит) и спасибо за подарок 😉,5
81,"Хороший поп ит, правда первое время от него был сильный запах , но быстро выветрился . В подарок положили светящийся классный спинер. Ребёнок доволен !",5
82,"Пришёл хорошо упакованный, спасибо за подарок))",5
83,Быстрая доставка ребёнку понравилось,5
84,"Все пришло, все целое, ребенок доволен За подарок спасибо 😊",5
85,"Сова супер 👏. Ребёнок в восторге! Спасибо за подарочки, очень приятно.",5
86,Очень крутая и большая. Был подарок.,5
87,Прикольная,5
88,"Поп ит хороший. ""Резина"" плотная. В подарок был симпл димпл.",5
89,Классный ! Сын в восторге.,5
90,Рекомендую! Всё понравилось!,5
91,Ребёнку понравилось,5
92,Очень классный и подарок внутри,5
93,Спасибо за подарок. Дети в восторге 😍 👌👌👌👌,5
94,"Красивый , большой , спасибо большое и плюс подарок , очень приятно)",5
95,Дочь довольна благодарим вас,5
96,Замечательная игрушка.очень быстрая доставка.большое спасибо,5
97,"спасибо,ребенок доволен)))",5
98,Ребёнок доволен. Спасибо продавцу.,5
99,Хороший товар.Можно брать.,5
100,👍🏼. Как на фото,5
101,"Отлично, ребёнку нравятся",5
102,Отличная штука),5
103,Дети рады,5
104,"Все супер, ребенок рад , в подарок положили симпл димпл",5
105,Супер игрушка,5
106,"Классный поп ит👍, ребёнок в восторге, в подорок положили симпл димпл чёрного цвета 🔥 который светится в темноте. Спасибо!!! Все было хорошо упаковано, без постороннего запаха.",5
107,Классный) ребёнок в восторге. Яркий по качеству хороший.)) советую),5
108,"Ребёнок в восторге, спасибо",5
109,"Ребёнку понравился этот милый поп ит, быстрая доставка, за подарок отдельное спасибо🙂",5
110,Спасибо за подарок! Ребёнку нравиться,5
111,"Отличная игрушка, положили подарочек 🙂приятно",5
112,Прекрасный поп ит! Но с хорошей стороны не очень пупырки 🦋 Но в целом просто идеально 😍,5
113,Рады.Спасибо за подарок.,5
114,Пришло быстро в срок! Продавец положил ещё плюсом мини попит в подарок) было очень очень приятно ! Спасибо ☺️☺️☺️,5
115,"Хороший, плюс подарок",5
116,Хороший поп ит. Рекомендую.,5
117,Получили поп ит и подарок...Все без дефЕктов...Ребенок доволен...самое главное...Рекомендую к покупке...вместо одной игрушки ваш ребенок получит две .,5
118,"👍🏼👍🏼👍🏼супер,ребёнок в восторге.Спасибо за подарочек.",5
119,Дети довольные,5
120,"Отличный попит, в подарок пришёл симпл димпл, ребёнок ооочень доволен",5
121,"Отлично и на подарок, и просто внучке ",5
122,Обычный поп ит дочке понравился,5
123,"Хороший поп ит, в подарок шёл симп димпл который светится в темноте. Ребёнок очень доволен. Спасибо",5
124,"Качественный, плотный,ребенок довольный! Спасибо продавцу Отдельно спасибо за подарочек! Спиннер!",5
125,"Хороший большой поп-ит, яркий, в подарок был спиннер симпл-димпл.",5
126,Супер ребёнок рад),5
127,"Ребенку ""прям очень понравился"".говорит Согласна, яркий ,пластик нормальный,давить на пупырки хорошо. За подарок,отдельное спасибо, я честно говоря не ожидала,что сдержите слово, а он был и хороший. В темноте светит немного. Ребенок от посылки вашей счастлив весь вечер ,да и мои ожидания не обманули заслуженное 5. Мог и в магазине купить,но ему нравится получать посылки WB ,. Спасибо за настроение.",5
128,Попыт как Попыт...,5
129,Отличная игрушка,5
130,"Поп ит классный , большой , детям очень понравился)) в подарок симпл дипл ) и магнитик ) спасибо)))",5
131,"Ребенок доволен, ещё и маленький подарок нашла там, спасибо вам огромное...",5
132,"Хороший, большой",5
133,"Поп ИТ пришёл без брака, кликает нормально. Плюс подарочек.",5
134,"Все супер,дети рады,к каждому был подарочек ,спасибо 🤗",5
135,"Отличный товар, ребенку понравилось. Отдельное спасибо за подарок.",5
136,Очень качественный и хороший . Подарок очень приятно обрадовал ребёнка,5
137,Супер! Ребенок счастлив!Спасибо,5
138,Пришло быстро. Все хорошо. И приятный подарок порадовал),5
139,"Спасибо за подарок, приятно.",5
140,"Отличный товар, пришёл очень быстро",5
141,"Все отлично, заказываю не первый раз)",5
142,"Отличная игрушка, подарок ребёнку понравился чуть ли не больше чем сам поп ит) производителю спасибо!",5
143,Отлично спасибо,5
144,Взяла для работы в школе. Спасибо за подарок- его сразу забрала дочь,5
145,"Спасибо. Про подарок даже не знал, был приятно удивлён. Продавца рекомендую.",5
146,Спасибо за подарок! Очень довольны.,5
147,Ребенок в восторге! А подарок еще интереснее оказался),5
148,"Огромное спасибо , поп ит большой , качества материала толстый , хорошо лопаются , звук хороший , и спасибо за подарок ))) ребёнок оценил )))",5
149,"Спасибо огромное, совушка яркая и красочная и спасибо за подарок, однозначно рекомендую продавца)",5
150,Хорошее качество,5
151,Супер игрушка. Нравится и малышам и подросткам,5
152,"Классный, ребёнку понравился",5
153,"Классный, спасибо большое за 🎁",5
154,Ребёнок доволен. Доставили быстро.,5
155,Офигенный!!! Будем заказывать ещё . Продавцу спасибо за подарок 🎁,5
156,"Спасибо большое!!! Ребёнок счастлив! Кликает супер, а ещё и подарок!",5
157,Попыт хороший и хорошо комкает👍👍👍👍,5
158,"Хороший, большой поп ит",5
159,Дети довольны.,5
160,"Поп ит кликает хорошо, мягкий, яркие цвета. В подарок добавлен симпл димпл спинер, который светится в темноте. Покупкой довольны. Спасибо производителю и магазину",5
161,👍👍👍👍👍,5
162,"Отличный поп ит, большой и яркий. Силикон тонковат, но это и хорошо…ребёнку 2 лет как раз легко нажимать. Отдельное спасибо за подарок. Симпл димпл оч крутой. По ходу он ребёнку больше понравился, чем поп ит 👍",5
163,Все отлично. Без брака. И ещё подарок),5
164,"Всё хорошо, ребёнку понравился.",5
165,Без брака+подарочек.Спасибо!,5
166,"Всё пришло, подарок есть, ребёнок доволен, спасибо.",5
167,Хорошая игрушка,5
168,Ребенку понравилось,5
169,"Класс, щелкает отлично",5
170,"Спасибо за подарок! Было неожиданно. И штука такая прикольная. Сам попыт нормального качества, дети довольны",5
171,"Отличный pop it! За подарок спасибо! Присутствовал запах, как впрочем и всех подобных изделий, помыла. Запах выветрился. Довольна. Брала для походов в больницу, поездок на автобусе, отлично скрашивает ожидание!)",5
172,Хорошая штука.прислали еще подарочек❤Спасибо,5
173,Ребёнок доволен. Спасибо за подарок.,5
174,5+.всё отлично.спасибо за подарочек.,5
175,"Очень хороший товар, ребенку нравится!",5
176,"Классный, пришел целый, с подарком.",5
177,Качество устраивает дочке понравилось ,5
178,Ребенку очень понравилось,5
179,"Супер игрушка 👌 Подарок есть, 🔥🔥🔥 Будем заказывать ещё 💓 Рекомендовано к покупке 🛒 Спасибо Вам 🌷",5
180,Спинер в подарок очень обрадовал дочь)) Спасибо.,5
